x,z,y
63,62,379
46,69,373
86,50,377
34,79,389
44,76,397
32,45,249
76,88,509
80,99,561
52,66,373
49,37,251
50,39,261
84,86,517
42,75,389
48,60,341
45,30,215
92,84,525
65,51,339
99,82,531
71,56,371
78,96,545
60,53,337
47,83,431
88,61,425
72,40,309
72,30,269
30,40,225
74,58,385
79,47,351
65,36,279
74,44,329
78,48,353
43,91,455
38,53,293
96,96,581
43,91,455
90,62,433
66,92,505
98,41,365
69,77,451
36,55,297
71,50,347
73,61,395
99,51,407
57,91,483
64,53,345
95,68,467
48,84,437
33,46,255
34,43,245
31,40,227
82,36,313
93,66,455
75,78,467
51,42,275
66,78,449
35,57,303
96,63,449
91,38,339
64,74,429
68,81,465
46,33,229
53,82,439
99,81,527
57,83,451
55,42,283
60,31,249
60,37,273
90,54,401
31,38,219
68,84,477
80,65,425
52,72,397
43,82,419
32,62,317
81,84,503
63,69,407
30,88,417
88,62,429
82,72,457
91,66,451
55,83,447
70,47,333
40,33,217
40,69,361
85,98,567
52,59,345
90,69,461
73,62,399
91,96,571
91,57,415
84,40,333
36,39,233
95,70,475
58,55,341
72,34,285
80,98,557
94,93,565
78,62,409
36,40,237
72,91,513
