x,z,y
9,8,47
5,7,36
6,8,41
2,14,51
13,19,88
6,6,35
5,1,18
1,15,52
6,1,20
6,17,68
16,1,40
4,15,58
11,2,33
9,14,65
3,8,35
19,8,67
8,19,78
5,7,36
4,19,70
6,6,35
2,6,27
11,3,36
4,7,34
15,19,92
6,8,41
17,10,69
6,15,62
19,15,88
2,1,12
15,7,56
11,4,39
8,6,39
19,1,46
13,5,46
12,1,32
5,4,27
6,2,23
4,10,43
19,5,58
1,10,37
17,1,42
12,6,47
15,13,74
1,15,52
14,4,45
6,13,56
5,15,60
11,8,51
4,5,28
13,15,76
11,4,39
3,12,47
1,13,46
6,2,23
18,19,98
10,19,82
5,4,27
10,4,37
12,11,62
2,5,24
13,11,64
8,10,51
2,8,33
1,6,25
5,6,33
9,8,47
17,15,84
9,14,65
11,11,60
15,12,71
6,13,56
3,8,35
17,18,93
5,1,18
12,15,74
18,8,65
14,11,66
11,12,63
9,12,59
2,4,21
12,16,77
3,4,23
3,5,26
1,5,22
8,8,45
8,10,51
11,17,78
9,9,50
5,19,72
14,14,75
3,8,35
5,9,42
5,11,48
19,1,46
14,14,75
4,5,28
13,14,73
10,4,37
18,1,44
8,19,78
